JobId, startTime, endTime, duration, queueName, startRunning, runningTime, isCPU
315,615.0,718.0,103.0,queue5,683.0,35.0,false
243,513.0,719.0,206.0,queue3,696.0,23.0,false
269,579.0,724.0,145.0,queue9,666.0,58.0,false
270,579.0,724.0,145.0,queue0,655.0,69.0,false
257,558.0,728.0,170.0,queue7,714.0,14.0,false
271,579.0,732.0,153.0,queue1,697.0,35.0,false
279,589.0,734.0,145.0,queue9,690.0,44.0,false
248,516.0,736.0,220.0,queue8,645.0,91.0,false
280,589.0,737.0,148.0,queue0,657.0,80.0,false
325,626.0,741.0,115.0,queue5,718.0,23.0,false
261,561.0,743.0,182.0,queue1,670.0,73.0,false
267,566.0,744.0,178.0,queue7,728.0,16.0,false
212,478.0,745.0,267.0,queue2,578.0,167.0,false
289,592.0,748.0,156.0,queue9,724.0,24.0,false
284,589.0,751.0,162.0,queue4,689.0,62.0,false
274,586.0,754.0,168.0,queue4,644.0,110.0,false
258,558.0,755.0,197.0,queue8,736.0,19.0,false
309,602.0,760.0,158.0,queue9,748.0,12.0,false
299,597.0,762.0,165.0,queue9,734.0,28.0,false
290,592.0,763.0,171.0,queue0,724.0,39.0,false
281,589.0,765.0,176.0,queue1,732.0,33.0,false
242,513.0,766.0,253.0,queue2,717.0,49.0,false
263,561.0,767.0,206.0,queue3,719.0,48.0,false
319,615.0,770.0,155.0,queue9,760.0,10.0,false
256,558.0,781.0,223.0,queue6,709.0,72.0,false
291,592.0,781.0,189.0,queue1,743.0,38.0,false
339,686.0,781.0,95.0,queue9,770.0,11.0,false
300,597.0,782.0,185.0,queue0,737.0,45.0,false
301,597.0,787.0,190.0,queue1,765.0,22.0,false
349,715.0,788.0,73.0,queue9,781.0,7.0,false
277,589.0,790.0,201.0,queue7,744.0,46.0,false
329,628.0,790.0,162.0,queue9,762.0,28.0,false
268,573.0,791.0,218.0,queue8,755.0,36.0,false
238,513.0,793.0,280.0,queue8,640.0,153.0,false
227,501.0,794.0,293.0,queue7,627.0,167.0,false
294,595.0,799.0,204.0,queue4,751.0,48.0,false
252,520.0,803.0,283.0,queue2,745.0,58.0,false
287,592.0,807.0,215.0,queue7,790.0,17.0,false
369,765.0,808.0,43.0,queue9,790.0,18.0,false
273,581.0,812.0,231.0,queue3,767.0,45.0,false
266,566.0,813.0,247.0,queue6,781.0,32.0,false
262,561.0,818.0,257.0,queue2,766.0,52.0,false
304,601.0,818.0,217.0,queue4,754.0,64.0,false
379,780.0,820.0,40.0,queue9,808.0,12.0,false
278,589.0,822.0,233.0,queue8,791.0,31.0,false
321,617.0,827.0,210.0,queue1,787.0,40.0,false
246,516.0,829.0,313.0,queue6,701.0,128.0,false
359,737.0,832.0,95.0,queue9,788.0,44.0,false
310,603.0,837.0,234.0,queue0,763.0,74.0,false
276,589.0,839.0,250.0,queue6,813.0,26.0,false
272,579.0,841.0,262.0,queue2,803.0,38.0,false
288,592.0,842.0,250.0,queue8,793.0,49.0,false
389,827.0,845.0,18.0,queue9,832.0,13.0,false
286,592.0,850.0,258.0,queue6,829.0,21.0,false
307,602.0,852.0,250.0,queue7,807.0,45.0,false
330,632.0,854.0,222.0,queue0,820.0,34.0,false
324,626.0,856.0,230.0,queue4,818.0,38.0,false
331,651.0,861.0,210.0,queue1,827.0,34.0,false
298,595.0,864.0,269.0,queue8,822.0,42.0,false
253,520.0,869.0,349.0,queue3,706.0,163.0,false
308,602.0,870.0,268.0,queue8,842.0,28.0,false
282,589.0,873.0,284.0,queue2,818.0,55.0,false
318,615.0,876.0,261.0,queue8,864.0,12.0,false
341,687.0,879.0,192.0,queue1,845.0,34.0,false
320,615.0,880.0,265.0,queue0,782.0,98.0,false
283,589.0,881.0,292.0,queue3,812.0,69.0,false
306,602.0,883.0,281.0,queue6,850.0,33.0,false
340,686.0,883.0,197.0,queue0,837.0,46.0,false
293,595.0,890.0,295.0,queue3,869.0,21.0,false
399,870.0,891.0,21.0,queue9,870.0,21.0,false
302,599.0,895.0,296.0,queue2,873.0,22.0,false
328,628.0,896.0,268.0,queue8,876.0,20.0,false
317,615.0,899.0,284.0,queue7,852.0,47.0,false
314,615.0,900.0,285.0,queue4,799.0,101.0,false
311,603.0,901.0,298.0,queue1,781.0,120.0,false
292,592.0,907.0,315.0,queue2,841.0,66.0,false
327,627.0,912.0,285.0,queue7,899.0,13.0,false
335,659.0,913.0,254.0,queue5,741.0,172.0,false
316,615.0,916.0,301.0,queue6,883.0,33.0,false
350,715.0,920.0,205.0,queue0,854.0,66.0,false
409,903.0,920.0,17.0,queue9,907.0,13.0,false
313,606.0,932.0,326.0,queue3,890.0,42.0,false
344,694.0,932.0,238.0,queue4,900.0,32.0,false
345,695.0,932.0,237.0,queue5,913.0,19.0,false
312,603.0,934.0,331.0,queue2,895.0,39.0,false
296,595.0,936.0,341.0,queue6,839.0,97.0,false
361,748.0,940.0,192.0,queue1,891.0,49.0,false
419,926.0,943.0,17.0,queue9,932.0,11.0,false
360,740.0,944.0,204.0,queue0,880.0,64.0,false
326,627.0,952.0,325.0,queue6,916.0,36.0,false
348,714.0,952.0,238.0,queue8,896.0,56.0,false
371,773.0,953.0,180.0,queue1,901.0,52.0,false
351,716.0,957.0,241.0,queue1,861.0,96.0,false
323,625.0,959.0,334.0,queue3,932.0,27.0,false
332,651.0,962.0,311.0,queue2,934.0,28.0,false
303,601.0,968.0,367.0,queue3,881.0,87.0,false
370,766.0,971.0,205.0,queue0,883.0,88.0,false
346,703.0,972.0,269.0,queue6,952.0,20.0,false
429,929.0,976.0,47.0,queue9,943.0,33.0,false
380,790.0,978.0,188.0,queue0,920.0,58.0,false
439,934.0,978.0,44.0,queue9,944.0,34.0,false
338,684.0,985.0,301.0,queue8,879.0,106.0,false
333,658.0,989.0,331.0,queue3,959.0,30.0,false
356,725.0,991.0,266.0,queue6,972.0,19.0,false
337,684.0,992.0,308.0,queue7,920.0,72.0,false
322,619.0,998.0,379.0,queue2,912.0,86.0,false
354,725.0,998.0,273.0,queue4,932.0,66.0,false
305,601.0,1000.0,399.0,queue5,681.0,319.0,false
343,694.0,1001.0,307.0,queue3,968.0,33.0,false
449,937.0,1001.0,64.0,queue9,976.0,25.0,false
342,690.0,1002.0,312.0,queue2,962.0,40.0,false
368,764.0,1010.0,246.0,queue8,985.0,25.0,false
297,595.0,1011.0,416.0,queue7,794.0,217.0,false
363,748.0,1014.0,266.0,queue3,1001.0,13.0,false
391,827.0,1015.0,188.0,queue1,957.0,58.0,false
381,794.0,1018.0,224.0,queue1,953.0,65.0,false
353,717.0,1019.0,302.0,queue3,989.0,30.0,false
364,748.0,1023.0,275.0,queue4,998.0,25.0,false
469,969.0,1027.0,58.0,queue9,1001.0,26.0,false
383,797.0,1038.0,241.0,queue3,1019.0,19.0,false
365,748.0,1040.0,292.0,queue5,1000.0,40.0,false
459,958.0,1041.0,83.0,queue9,978.0,63.0,false
374,774.0,1043.0,269.0,queue4,1023.0,20.0,false
336,674.0,1044.0,370.0,queue6,940.0,104.0,false
378,780.0,1049.0,269.0,queue8,1010.0,39.0,false
489,1003.0,1055.0,52.0,queue9,1041.0,14.0,false
390,827.0,1059.0,232.0,queue0,971.0,88.0,false
388,822.0,1060.0,238.0,queue8,1049.0,11.0,false
393,858.0,1062.0,204.0,queue3,1038.0,24.0,false
366,752.0,1067.0,315.0,queue6,991.0,76.0,false
400,871.0,1068.0,197.0,queue0,978.0,90.0,false
384,797.0,1073.0,276.0,queue4,1043.0,30.0,false
357,725.0,1081.0,356.0,queue7,1011.0,70.0,false
355,725.0,1084.0,359.0,queue5,936.0,148.0,false
386,807.0,1087.0,280.0,queue6,1067.0,20.0,false
375,774.0,1089.0,315.0,queue5,1040.0,49.0,false
420,926.0,1091.0,165.0,queue0,1068.0,23.0,false
499,1045.0,1093.0,48.0,queue9,1055.0,38.0,false
362,748.0,1094.0,346.0,queue2,1002.0,92.0,false
373,774.0,1096.0,322.0,queue3,1014.0,82.0,false
376,778.0,1096.0,318.0,queue6,1044.0,52.0,false
479,988.0,1099.0,111.0,queue9,1027.0,72.0,false
411,913.0,1100.0,187.0,queue1,1018.0,82.0,false
509,1064.0,1103.0,39.0,queue9,1093.0,10.0,false
367,757.0,1111.0,354.0,queue7,1081.0,30.0,false
347,711.0,1115.0,404.0,queue7,992.0,123.0,false
395,864.0,1122.0,258.0,queue5,1089.0,33.0,false
396,870.0,1123.0,253.0,queue6,1087.0,36.0,false
529,1094.0,1123.0,29.0,queue9,1103.0,20.0,false
519,1080.0,1124.0,44.0,queue9,1099.0,25.0,false
377,779.0,1125.0,346.0,queue7,1111.0,14.0,false
334,659.0,1131.0,472.0,queue4,856.0,275.0,false
387,807.0,1132.0,325.0,queue7,1115.0,17.0,false
385,797.0,1135.0,338.0,queue5,1084.0,51.0,false
410,910.0,1138.0,228.0,queue0,1059.0,79.0,false
